date,home_team,away_team,home_score,away_score,neutral,home_rank,away_rank,h_goals_for_avg,h_goals_against_avg,a_goals_for_avg,a_goals_against_avg,datetime,match_type_FIFA_WCQ,match_type_Friendly,match_type_Qualifier,match_type_Tournament/Cup_Match
2021-09-02,Canada,Honduras,1.0,1.0,0,59,63,3.2,0.2,1.1,1.9,2021-09-02,1,0,0,0
2021-09-02,Panama,Costa Rica,0.0,0.0,0,74,44,2.4,1.1,0.9,1.3,2021-09-02,1,0,0,0
2021-09-02,Mexico,Jamaica,2.0,1.0,0,9,50,1.8,0.5,1.7,1.3,2021-09-02,1,0,0,0
2021-09-02,El Salvador,United States,0.0,0.0,0,64,10,1.5,0.1,1.0,0.9,2021-09-02,1,0,0,0
2021-09-05,Jamaica,Panama,0.0,3.0,0,50,74,2.3,0.8,1.1,1.6,2021-09-05,1,0,0,0
2021-09-05,El Salvador,Honduras,0.0,0.0,0,64,63,1.5,0.1,1.1,1.9,2021-09-05,1,0,0,0
2021-09-05,Costa Rica,Mexico,0.0,1.0,0,44,9,1.0,0.8,2.0,0.9,2021-09-05,1,0,0,0
2021-09-05,United States,Canada,1.0,1.0,0,10,59,1.6,1.3,3.5,0.8,2021-09-05,1,0,0,0
2021-09-08,Canada,El Salvador,3.0,0.0,0,59,64,3.2,0.2,1.8,1.0,2021-09-08,1,0,0,0
2021-09-08,Panama,Mexico,1.0,1.0,0,74,9,2.4,1.1,2.0,0.9,2021-09-08,1,0,0,0
2021-09-08,Costa Rica,Jamaica,1.0,1.0,0,44,50,1.0,0.8,1.7,1.3,2021-09-08,1,0,0,0
2021-09-08,Honduras,United States,1.0,4.0,0,63,10,2.2,0.5,1.0,0.9,2021-09-08,1,0,0,0
2021-10-07,Honduras,Costa Rica,0.0,0.0,0,63,44,2.2,0.5,0.9,1.3,2021-10-07,1,0,0,0
2021-10-07,United States,Jamaica,2.0,0.0,0,10,50,1.6,1.3,1.7,1.3,2021-10-07,1,0,0,0
2021-10-07,Mexico,Canada,1.0,1.0,0,9,59,1.8,0.5,3.5,0.8,2021-10-07,1,0,0,0
2021-10-07,El Salvador,Panama,1.0,0.0,0,64,74,1.5,0.1,1.1,1.6,2021-10-07,1,0,0,0
2021-10-10,Jamaica,Canada,0.0,0.0,0,50,59,2.3,0.8,3.5,0.8,2021-10-10,1,0,0,0
2021-10-10,Panama,United States,1.0,0.0,0,74,10,2.4,1.1,1.0,0.9,2021-10-10,1,0,0,0
2021-10-10,Costa Rica,El Salvador,2.0,1.0,0,44,64,1.0,0.8,1.8,1.0,2021-10-10,1,0,0,0
2021-10-10,Mexico,Honduras,3.0,0.0,0,9,63,1.8,0.5,1.1,1.9,2021-10-10,1,0,0,0
2021-10-12,United States,Costa Rica,2.0,1.0,0,10,44,1.6,1.3,0.9,1.3,2021-10-12,1,0,0,0
2021-10-13,Canada,Panama,4.0,1.0,0,59,74,3.2,0.2,1.1,1.6,2021-10-13,1,0,0,0
2021-10-13,Honduras,Jamaica,0.0,2.0,0,63,50,2.2,0.5,1.7,1.3,2021-10-13,1,0,0,0
2021-10-13,El Salvador,Mexico,0.0,2.0,0,64,9,1.5,0.1,2.0,0.9,2021-10-13,1,0,0,0
2021-11-11,United States,Mexico,2.0,0.0,0,10,9,1.6,1.3,2.0,0.9,2021-11-11,1,0,0,0
2021-11-12,Honduras,Panama,2.0,3.0,0,63,74,2.2,0.5,1.1,1.6,2021-11-12,1,0,0,0
2021-11-12,El Salvador,Jamaica,1.0,1.0,0,64,50,1.5,0.1,1.7,1.3,2021-11-12,1,0,0,0
2021-11-12,Canada,Costa Rica,1.0,0.0,0,59,44,3.2,0.2,0.9,1.3,2021-11-12,1,0,0,0
2021-11-16,Jamaica,United States,1.0,1.0,0,50,10,2.3,0.8,1.0,0.9,2021-11-16,1,0,0,0
2021-11-16,Panama,El Salvador,2.0,1.0,0,74,64,2.4,1.1,1.8,1.0,2021-11-16,1,0,0,0
2021-11-16,Costa Rica,Honduras,2.0,1.0,0,44,63,1.0,0.8,1.1,1.9,2021-11-16,1,0,0,0
2021-11-16,Canada,Mexico,2.0,1.0,0,59,9,3.2,0.2,2.0,0.9,2021-11-16,1,0,0,0
2022-01-26,Jamaica,Mexico,,,0,50,9,2.3,0.8,2.0,0.9,2022-01-26,1,0,0,0
2022-01-26,Honduras,Canada,,,0,63,59,2.2,0.5,3.5,0.8,2022-01-26,1,0,0,0
2022-01-26,United States,El Salvador,,,0,10,64,1.6,1.3,1.8,1.0,2022-01-26,1,0,0,0
2022-01-26,Costa Rica,Panama,,,0,44,74,1.0,0.8,1.1,1.6,2022-01-26,1,0,0,0
2022-01-29,Honduras,El Salvador,,,0,63,64,2.2,0.5,1.8,1.0,2022-01-29,1,0,0,0
2022-01-29,Panama,Jamaica,,,0,74,50,2.4,1.1,1.7,1.3,2022-01-29,1,0,0,0
2022-01-29,Canada,United States,,,0,59,10,3.2,0.2,1.0,0.9,2022-01-29,1,0,0,0
2022-01-29,Mexico,Costa Rica,,,0,9,44,1.8,0.5,0.9,1.3,2022-01-29,1,0,0,0
2022-02-01,Jamaica,Costa Rica,,,0,50,44,2.3,0.8,0.9,1.3,2022-02-01,1,0,0,0
2022-02-01,United States,Honduras,,,0,10,63,1.6,1.3,1.1,1.9,2022-02-01,1,0,0,0
2022-02-01,Mexico,Panama,,,0,9,74,1.8,0.5,1.1,1.6,2022-02-01,1,0,0,0
2022-02-01,El Salvador,Canada,,,0,64,59,1.5,0.1,3.5,0.8,2022-02-01,1,0,0,0
2022-03-23,Jamaica,El Salvador,,,0,50,64,2.3,0.8,1.8,1.0,2022-03-23,1,0,0,0
2022-03-23,Panama,Honduras,,,0,74,63,2.4,1.1,1.1,1.9,2022-03-23,1,0,0,0
2022-03-23,Mexico,United States,,,0,9,10,1.8,0.5,1.0,0.9,2022-03-23,1,0,0,0
2022-03-23,Costa Rica,Canada,,,0,44,59,1.0,0.8,3.5,0.8,2022-03-23,1,0,0,0
2022-03-26,United States,Panama,,,0,10,74,1.6,1.3,1.1,1.6,2022-03-26,1,0,0,0
2022-03-26,Honduras,Mexico,,,0,63,9,2.2,0.5,2.0,0.9,2022-03-26,1,0,0,0
2022-03-26,El Salvador,Costa Rica,,,0,64,44,1.5,0.1,0.9,1.3,2022-03-26,1,0,0,0
2022-03-26,Canada,Jamaica,,,0,59,50,3.2,0.2,1.7,1.3,2022-03-26,1,0,0,0
