date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2021-09-02,Canada,Honduras,1,1,FIFA World Cup qualification,Toronto,Canada,FALSE
2021-09-02,Panama,Costa Rica,0,0,FIFA World Cup qualification,Panama City,Panama,FALSE
2021-09-02,Mexico,Jamaica,2,1,FIFA World Cup qualification,Mexico City,Mexico,FALSE
2021-09-02,El Salvador,United States,0,0,FIFA World Cup qualification,San Salvador,El Salvador,FALSE
2021-09-05,Jamaica,Panama,0,3,FIFA World Cup qualification,Kingston,Jamaica,FALSE
2021-09-05,El Salvador,Honduras,0,0,FIFA World Cup qualification,San Salvador,El Salvador,FALSE
2021-09-05,Costa Rica,Mexico,0,1,FIFA World Cup qualification,San Jose,Costa Rica,FALSE
2021-09-05,United States,Canada,1,1,FIFA World Cup qualification,Nashville,United States,FALSE
2021-09-08,Canada,El Salvador,3,0,FIFA World Cup qualification,Toronto,Canada,FALSE
2021-09-08,Panama,Mexico,1,1,FIFA World Cup qualification,Panama City,Panama,FALSE
2021-09-08,Costa Rica,Jamaica,1,1,FIFA World Cup qualification,San Jose,Costa Rica,FALSE
2021-09-08,Honduras,United States,1,4,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE
2021-10-07,Honduras,Costa Rica,0,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE
2021-10-07,United States,Jamaica,2,0,FIFA World Cup qualification,Austin,United States,FALSE
2021-10-07,Mexico,Canada,1,1,FIFA World Cup qualification,Mexico City,Mexico,FALSE
2021-10-07,El Salvador,Panama,1,0,FIFA World Cup qualification,San Salvador,El Salvador,FALSE
2021-10-10,Jamaica,Canada,0,0,FIFA World Cup qualification,Kingston,Jamaica,FALSE
2021-10-10,Panama,United States,1,0,FIFA World Cup qualification,Panama City,Panama,FALSE
2021-10-10,Costa Rica,El Salvador,2,1,FIFA World Cup qualification,San Jose,Costa Rica,FALSE
2021-10-10,Mexico,Honduras,3,0,FIFA World Cup qualification,Mexico City,Mexico,FALSE
2021-10-12,United States,Costa Rica,2,1,FIFA World Cup qualification,Columbus,United States,FALSE
2021-10-13,Canada,Panama,4,1,FIFA World Cup qualification,Toronto,Canada,FALSE
2021-10-13,Honduras,Jamaica,0,2,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE
2021-10-13,El Salvador,Mexico,0,2,FIFA World Cup qualification,San Salvador,El Salvador,FALSE
2021-11-11,United States,Mexico,2,0,FIFA World Cup qualification,Cincinnati,United States,FALSE
2021-11-12,Honduras,Panama,2,3,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE
2021-11-12,El Salvador,Jamaica,1,1,FIFA World Cup qualification,San Salvador,El Salvador,FALSE
2021-11-12,Canada,Costa Rica,1,0,FIFA World Cup qualification,Edmonton,Canada,FALSE
2021-11-16,Jamaica,United States,1,1,FIFA World Cup qualification,Kingston,Jamaica,FALSE
2021-11-16,Panama,El Salvador,2,1,FIFA World Cup qualification,Panama City,Panama,FALSE
2021-11-16,Costa Rica,Honduras,2,1,FIFA World Cup qualification,San Jose,Costa Rica,FALSE
2021-11-16,Canada,Mexico,2,1,FIFA World Cup qualification,Edmonton,Canada,FALSE
2022-01-26,Jamaica,Mexico,,,FIFA World Cup qualification,,,
2022-01-26,Honduras,Canada,,,FIFA World Cup qualification,,,
2022-01-26,United States,El Salvador,,,FIFA World Cup qualification,,,
2022-01-26,Costa Rica,Panama,,,FIFA World Cup qualification,,,
2022-01-29,Honduras,El Salvador,,,FIFA World Cup qualification,,,
2022-01-29,Panama,Jamaica,,,FIFA World Cup qualification,,,
2022-01-29,Canada,United States,,,FIFA World Cup qualification,,,
2022-01-29,Mexico,Costa Rica,,,FIFA World Cup qualification,,,
2022-02-01,Jamaica,Costa Rica,,,FIFA World Cup qualification,,,
2022-02-01,United States,Honduras,,,FIFA World Cup qualification,,,
2022-02-01,Mexico,Panama,,,FIFA World Cup qualification,,,
2022-02-01,El Salvador,Canada,,,FIFA World Cup qualification,,,
2022-03-23,Jamaica,El Salvador,,,FIFA World Cup qualification,,,
2022-03-23,Panama,Honduras,,,FIFA World Cup qualification,,,
2022-03-23,Mexico,United States,,,FIFA World Cup qualification,,,
2022-03-23,Costa Rica,Canada,,,FIFA World Cup qualification,,,
2022-03-26,United States,Panama,,,FIFA World Cup qualification,,,
2022-03-26,Honduras,Mexico,,,FIFA World Cup qualification,,,
2022-03-26,El Salvador,Costa Rica,,,FIFA World Cup qualification,,,
2022-03-26,Canada,Jamaica,,,FIFA World Cup qualification,,,
2022-03-29,Mexico,El Salvador,,,FIFA World Cup qualification,,,
2022-03-29,Jamaica,Honduras,,,FIFA World Cup qualification,,,
2022-03-29,Panama,Canada,,,FIFA World Cup qualification,,,
2022-03-29,Costa Rica,United States,,,FIFA World Cup qualification,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
